epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3237.99,0.47716,0.33411,0.8035,0.93515,1,0.95846,0.8599,0.4793,0.3709,0.81704,0.000800577,0.000800577,0.000800577
44,3311.82,0.44126,0.31664,0.79436,0.93521,1,0.95861,0.86976,0.46377,0.36251,0.81608,0.000779948,0.000779948,0.000779948
45,3386.44,0.45392,0.31482,0.79816,0.93532,1,0.9545,0.86616,0.45121,0.36972,0.81439,0.000759318,0.000759318,0.000759318
46,3461.57,0.45585,0.31253,0.79824,0.93532,1,0.9545,0.86616,0.45121,0.36972,0.81439,0.000738689,0.000738689,0.000738689
47,3534.72,0.44642,0.31535,0.80112,0.93522,1,0.95248,0.85664,0.47171,0.37941,0.81636,0.00071806,0.00071806,0.00071806
48,3609.73,0.45462,0.31663,0.80639,0.93521,1,0.95435,0.85557,0.47834,0.36273,0.81524,0.000697431,0.000697431,0.000697431
49,3683.94,0.44712,0.31021,0.80142,0.93538,1,0.95543,0.87209,0.43474,0.35676,0.81223,0.000676802,0.000676802,0.000676802
50,3759.67,0.46402,0.32304,0.79355,0.93519,1,0.96204,0.88032,0.42883,0.34955,0.81302,0.000656173,0.000656173,0.000656173
51,3832.15,0.44271,0.30928,0.80125,0.9351,1,0.95939,0.88584,0.41549,0.35688,0.81024,0.000635544,0.000635544,0.000635544
52,3906.21,0.44021,0.30697,0.80644,0.9352,1,0.96018,0.88215,0.4294,0.36391,0.81053,0.000614915,0.000614915,0.000614915
53,3980.19,0.42187,0.29748,0.79973,0.93521,1,0.95609,0.88343,0.42817,0.34272,0.81067,0.000594286,0.000594286,0.000594286
54,4054.5,0.43187,0.29411,0.80087,0.93521,1,0.95609,0.88343,0.42817,0.34272,0.81067,0.000573656,0.000573656,0.000573656
55,4129.52,0.42431,0.30271,0.79271,0.93517,1,0.95506,0.88103,0.42124,0.34371,0.80981,0.000553027,0.000553027,0.000553027
56,4205.54,0.426,0.29608,0.79907,0.93535,1,0.9582,0.87838,0.42877,0.33645,0.81033,0.000532398,0.000532398,0.000532398
57,4281.9,0.43029,0.29516,0.79804,0.93524,1,0.9657,0.88234,0.4483,0.3415,0.81218,0.000511769,0.000511769,0.000511769
58,4353.27,0.42419,0.28628,0.8027,0.93514,1,0.96809,0.88697,0.4256,0.33925,0.81061,0.00049114,0.00049114,0.00049114
