epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3842.07,0.62396,0.33973,0.8592,0.99167,1,0.99151,0.86858,0.58687,0.33164,0.91159,0.000800577,0.000800577,0.000800577
44,3933.2,0.59382,0.33184,0.85478,0.99192,1,0.99151,0.87445,0.56971,0.31602,0.90407,0.000779948,0.000779948,0.000779948
45,4025.19,0.6033,0.33368,0.85527,0.99186,1,0.99082,0.8537,0.5764,0.33074,0.91367,0.000759318,0.000759318,0.000759318
46,4114.75,0.58166,0.32933,0.85612,0.99181,1,0.99055,0.84895,0.57345,0.32092,0.9077,0.000738689,0.000738689,0.000738689
47,4206.36,0.61279,0.33199,0.86056,0.99181,1,0.99075,0.85476,0.56814,0.31786,0.90081,0.00071806,0.00071806,0.00071806
48,4298.24,0.59044,0.32393,0.85242,0.99209,1,0.99007,0.86073,0.56446,0.31427,0.9129,0.000697431,0.000697431,0.000697431
49,4389.3,0.62153,0.33247,0.86071,0.99178,1,0.99274,0.84675,0.62806,0.33361,0.92426,0.000676802,0.000676802,0.000676802
50,4479.67,0.58109,0.31873,0.84724,0.99152,1,0.99267,0.86014,0.57869,0.31584,0.90184,0.000656173,0.000656173,0.000656173
51,4570.92,0.58094,0.31518,0.8503,0.99143,1,0.99363,0.85607,0.58923,0.31603,0.91191,0.000635544,0.000635544,0.000635544
52,4661.39,0.57719,0.31304,0.86449,0.99134,1,0.99288,0.85921,0.57178,0.31094,0.90158,0.000614915,0.000614915,0.000614915
53,4751.56,0.58635,0.31202,0.85809,0.99053,0.99982,0.99295,0.85844,0.56783,0.318,0.90435,0.000594286,0.000594286,0.000594286
54,4841.96,0.56074,0.31062,0.85319,0.99059,0.99996,0.99219,0.84918,0.6035,0.31944,0.92185,0.000573656,0.000573656,0.000573656
