product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
ÁGUA MINERAL S/ GÁS AGUAS DO PORTO 510ML,13.10,19.10,BRUMADO,0.00,2
ÁGUA MINERAL S/ GÁS STERBOM 510M!,01.12,07.12,CAMPINA GRANDE,0.88,2
ÁGUA MINERAL S/ GÁS STERBOM 510M!,10.11,16.11,CAMPINA GRANDE,0.20,2
ÁGUA MINERAL S/ GÁS STERBOM 510M!,17.11,23.11,CAMPINA GRANDE,0.88,2
ÁGUA MINERAL S/ GÁS STERBOM 510ML,06.10,12.10,CAMPINA GRANDE,0.00,2
ÁGUA MINERAL S/ GÁS STERBOM 510ML,24.11,30.11,CAMPINA GRANDE,0.80,2
ÁGUA MINERAL S/GÁS AGUAS DO PORTO 510ML,06.10,12.10,JUAZEIRO DO NORTE,0.00,2
ÁGUA MINERAL STERBOM 510M!,03.11,09.11,CAMPINA GRANDE,0.00,3
ÁGUA SANITÁRIA CLORITO 1 LITRO,03.11,09.11,CAMPINA GRANDE,1.80,2
ÁGUA SANITÁRIA CLORITO 1 LITRO,06.10,12.10,JOÃO PESSOA,1.52,2
ÁGUA SANITÁRIA CLORITO 1 LITRO,10.11,16.11,CAMPINA GRANDE,1.80,2
