product_norm,branch,period_start,period_end,num_occurrences,price_mean,price_min,price_max
AMACIANTE P/ ROUPAS TEIÚ 5 LITROS,VITÓRIA DA CONQUISTA,29.09,05.10,1,17.00,17.00,17.00
ARROZ AGULHINHA TIPO 1 POP 1KG,JUAZEIRO DO NORTE,06.10,12.10,1,4.19,4.19,4.19
ARROZ AGULHINHA TIPO 1 POP 1KG,JUAZEIRO DO NORTE,17.11,23.11,1,3.48,3.48,3.48
ARROZ AGULHINHA TIPO 1 TIO URBANO 1KG,BRUMADO,03.11,06.11,1,4.00,4.00,4.00
ARROZ AGULHINHA TIPO 1 TIO URBANO 1KG,VITÓRIA DA CONQUISTA,03.11,06.11,1,4.00,4.00,4.00
ARROZ AGULINHA TIPO 1 TIO URBANO 1KG,VITÓRIA DA CONQUISTA,13.10,19.10,1,3.00,3.00,3.00
ARROZ PARBOILIZADO KIKA TIPO 1 1KG,BRUMADO,13.10,19.10,1,3.00,3.00,3.00
ARROZ PARBOILIZADO MINUTINHO 1KG,VITÓRIA DA CONQUISTA,06.10,12.10,1,3.00,3.00,3.00
ARROZ PARBOILIZADO OU BRANCO DONA ANA 1KG,BRUMADO,06.10,12.10,1,3.20,3.20,3.20
ARROZ PARBOILIZADO OU BRANCO DONA ANA 1KG,VITÓRIA DA CONQUISTA,29.09,05.10,1,3.80,3.80,3.80
ARROZ PARBOILIZADO RAMPINELLI 1KG,CAMPINA GRANDE,01.12,07.12,1,2.80,2.80,2.80
ARROZ PARBOILIZADO RAMPINELLI 1KG,CAMPINA GRANDE,10.11,16.11,1,3.80,3.80,3.80
ARROZ PARBOILIZADO RAMPINELLI 1KG,CAMPINA GRANDE,17.11,23.11,1,3.80,3.80,3.80
ARROZ PARBOILIZADO RAMPINELLI 1KG,JOÃO PESSOA,01.12,07.12,1,2.80,2.80,2.80
ARROZ PARBOILIZADO RAMPINELLI 1KG,JOÃO PESSOA,10.11,16.11,1,3.80,3.80,3.80
ARROZ PARBOILIZADO RAMPINELLI 1KG,JOÃO PESSOA,17.11,23.11,1,3.80,3.80,3.80
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,CAMPINA GRANDE,03.11,09.11,1,35.00,35.00,35.00
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,CAMPINA GRANDE,06.10,12.10,1,3.80,3.80,3.80
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,JOÃO PESSOA,03.11,09.11,1,35.00,35.00,35.00
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,JOÃO PESSOA,06.10,12.10,1,3.20,3.20,3.20
ARROZ PARBOILIZADO TIPO 2 POP 1KG,JUAZEIRO DO NORTE,01.12,07.12,1,2.80,2.80,2.80
ARROZ PARBOILIZADO TIPO 2 POP 1KG,JUAZEIRO DO NORTE,03.11,09.11,1,3.28,3.28,3.28
ARROZ PARBOILIZADO TIPO 2 POP 1KG,JUAZEIRO DO NORTE,10.11,16.11,1,3.28,3.28,3.28
ARROZ PARBOILIZADO TIPO 2 POP 1KG,JUAZEIRO DO NORTE,24.11,30.11,1,2.78,2.78,2.78
ARROZ RAMPINELLI PARBOILIZADO/ BRANCO 1KG,BRUMADO,29.09,05.10,1,3.00,3.00,3.00
ASA DE FRANGO CONGELADA KG,BRUMADO,03.11,06.11,1,14.80,14.80,14.80
ASA DE FRANGO CONGELADA KG,CAMPINA GRANDE,01.12,07.12,1,12.80,12.80,12.80
ASA DE FRANGO CONGELADA KG,CAMPINA GRANDE,03.11,09.11,1,12.50,12.50,12.50
ASA DE FRANGO CONGELADA KG,CAMPINA GRANDE,17.11,23.11,1,12.00,12.00,12.00
ASA DE FRANGO CONGELADA KG,CAMPINA GRANDE,24.11,30.11,1,12.80,12.80,12.80
ASA DE FRANGO CONGELADA KG,JOÃO PESSOA,01.12,07.12,1,12.80,12.80,12.80
ASA DE FRANGO CONGELADA KG,JOÃO PESSOA,03.11,09.11,1,12.50,12.50,12.50
ASA DE FRANGO CONGELADA KG,JOÃO PESSOA,17.11,23.11,1,12.00,12.00,12.00
ASA DE FRANGO CONGELADA KG,JOÃO PESSOA,24.11,30.11,1,12.80,12.80,12.80
ASA DE FRANGO CONGELADA KG,JUAZEIRO DO NORTE,01.12,07.12,1,12.00,12.00,12.00
ASA DE FRANGO CONGELADA KG,JUAZEIRO DO NORTE,10.11,16.11,1,16.80,16.80,16.80
ASA DE FRANGO CONGELADA KG,VITÓRIA DA CONQUISTA,03.11,06.11,1,14.80,14.80,14.80
ASA DE FRANGO CONGELADO KG,CAMPINA GRANDE,10.11,16.11,1,12.90,12.90,12.90
ASA DE FRANGO CONGELADO KG,JOÃO PESSOA,10.11,16.11,1,12.90,12.90,12.90
ASA DEFRANGO CONGELADO KG,JUAZEIRO DO NORTE,03.11,09.11,1,16.80,16.80,16.80
AZEITE PORTUGUÊS EXTRA VIRGEM ANDORINHA 500ML,BRUMADO,03.11,06.11,1,33.80,33.80,33.80
AZEITE PORTUGUÊS EXTRA VIRGEM ANDORINHA 500ML,VITÓRIA DA CONQUISTA,03.11,06.11,1,33.80,33.80,33.80
AZEITE PORTUGÊS ANDORINHA EXTRA VIRGEM 250ML,CAMPINA GRANDE,06.10,12.10,1,17.00,17.00,17.00
AÇÚCAR BAIANO CRISTAL OU REFINADO 1KG,BRUMADO,13.10,19.10,1,32.00,32.00,32.00
AÇÚCAR BAIANO CRISTAL OU REFINADO 1KG,VITÓRIA DA CONQUISTA,29.09,05.10,1,3.32,3.32,3.32
AÇÚCAR CRISTAL CAETÉ 1KG,JUAZEIRO DO NORTE,01.12,07.12,1,2.80,2.80,2.80
AÇÚCAR CRISTAL CAETÉ 1KG,JUAZEIRO DO NORTE,03.11,09.11,1,3.28,3.28,3.28
AÇÚCAR CRISTAL CAETÉ 1KG,JUAZEIRO DO NORTE,17.11,23.11,1,3.28,3.28,3.28
AÇÚCAR CRISTAL DONA MIRA 1KG,BRUMADO,03.11,06.11,1,3.80,3.80,3.80
AÇÚCAR CRISTAL DONA MIRA 1KG,BRUMADO,06.10,12.10,1,3.00,3.00,3.00
AÇÚCAR CRISTAL DONA MIRA 1KG,VITÓRIA DA CONQUISTA,03.11,06.11,1,3.80,3.80,3.80
AÇÚCAR CRISTAL VALIOSO 1KG,JUAZEIRO DO NORTE,06.10,12.10,1,3.20,3.20,3.20
AÇÚCAR CRISTAL VALIOSO 1KG,JUAZEIRO DO NORTE,24.11,30.11,1,3.80,3.80,3.80
AÇÚCAR DONA MIRA CRISTAL OU MOÍDO 1KG,VITÓRIA DA CONQUISTA,13.10,19.10,1,3.00,3.00,3.00
AÇÚCAR PADIM CRISTAL OU REFINADO 1KG,VITÓRIA DA CONQUISTA,06.10,12.10,1,32.00,32.00,32.00
AÇÚCAR TRITURADO ALEGRE 1KG,CAMPINA GRANDE,01.12,07.12,1,2.80,2.80,2.80
AÇÚCAR TRITURADO ALEGRE 1KG,CAMPINA GRANDE,03.11,09.11,1,3.80,3.80,3.80
AÇÚCAR TRITURADO ALEGRE 1KG,CAMPINA GRANDE,17.11,23.11,1,2.80,2.80,2.80
AÇÚCAR TRITURADO ALEGRE 1KG,CAMPINA GRANDE,24.11,30.11,1,2.80,2.80,2.80
AÇÚCAR TRITURADO ALEGRE 1KG,JOÃO PESSOA,01.12,07.12,1,2.80,2.80,2.80
AÇÚCAR TRITURADO ALEGRE 1KG,JOÃO PESSOA,03.11,09.11,1,3.80,3.80,3.80
