product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
LEITE EM PO INTEGRAL ITALAC SACHE 2009,10.11,16.11,CAMPINA GRANDE,6.00,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,03.11,06.11,BRUMADO,6.80,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,03.11,09.11,CAMPINA GRANDE,6.00,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,06.10,12.10,JOÃO PESSOA,7.80,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,17.11,23.11,CAMPINA GRANDE,6.00,2
LEITE EM PO INTEGRAL ITALAC SACHE 200G,24.11,30.11,CAMPINA GRANDE,6.00,3
LEITE EM PO INTEGRAL ITALAC SACHE 200G,29.09,05.10,VITÓRIA DA CONQUISTA,7.80,2
LINGUICA CALABRESA DEFUMADA PERDIGAO KG,01.12,07.12,CAMPINA GRANDE,25.50,2
LINGUICA DEFUMADA CALABRESA FINA NATURAVES KG,06.10,12.10,BRUMADO,16.50,2
LINGUICA DEFUMADA CALABRESA PERDIGAO KG,03.11,06.11,BRUMADO,24.89,2
LINGUICA DEFUMADA CALABRESA PERDIGAO KG,10.11,16.11,CAMPINA GRANDE,25.80,2
LINGUICA EM GOMOS P/CHURRASCO AURORA KG,03.11,09.11,CAMPINA GRANDE,17.40,3
LINGUICA EM GOMOS P/CHURRASCO AURORA KG,10.11,16.11,CAMPINA GRANDE,16.20,3
LINGUICA EM GOMOS P/CHURRASCO AURORA KG,24.11,30.11,CAMPINA GRANDE,16.00,2
LINGUICA MISTA EM GOMOS P/CHURRASCO FRIATO KG,01.12,07.12,CAMPINA GRANDE,15.80,2
LINGUICA MISTA EM GOMOS P/CHURRASCO FRIATO KG,17.11,23.11,CAMPINA GRANDE,15.00,2
LINGUICA P/CHURRASCO GOMOS NATURAVES KG,03.11,06.11,BRUMADO,14.80,2
PEITO DE FRANGO CONGELADO KG,01.12,07.12,JUAZEIRO DO NORTE,11.50,3
PEITO DE FRANGO CONGELADO KG,03.11,06.11,BRUMADO,13.00,2
PEITO DE FRANGO CONGELADO KG,03.11,09.11,JUAZEIRO DO NORTE,11.00,3
PEITO DE FRANGO CONGELADO KG,10.11,16.11,JUAZEIRO DO NORTE,11.00,3
PEITO DE FRANGO CONGELADO KG,17.11,23.11,JUAZEIRO DO NORTE,11.00,3
PEITO DE FRANGO CONGELADO KG,24.11,30.11,CAMPINA GRANDE,13.80,2
QUEIJO MUCARELA PECA/PEDACO KG,03.11,06.11,BRUMADO,29.90,2
QUEIJO MUCARELA PECA/PEDACO KG,03.11,09.11,CAMPINA GRANDE,28.00,3
QUEIJO MUCARELA PECA/PEDACO KG,10.11,16.11,CAMPINA GRANDE,28.00,3
QUEIJO MUCARELA PECA/PEDACO KG,17.11,23.11,CAMPINA GRANDE,28.00,3
QUEIJO MUCARELA PECA/PEDACO KG,24.11,30.11,CAMPINA GRANDE,27.80,3
