loja,cidade,periodo,produto,preco_brl
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,03.11 A 06.11,Dentro Bovino Resfriado Peça Pedaço Músculo Bovino Resfriado Peça/ Pedaço kg Asa de Frango Congelada,"19,80"
BRASIL ATACAREJO,VITÓRIA DA CONQUISTA,03.11 A 06.11,Leite Longa Vida Integral Betânia 1 litro Azeite Português Extra Virgem Andorinha 500ml,"298,00"
